,Type,AB,Site,Impurity,∆H (A-rich),∆H (B-rich),(+3/+2),(+2/+1),(+1/0),(0/-1),(-1/-2),(-2/-3),Unnamed: 12,Descriptors ->,Unnamed: 14,AB ->,PBE_delta_H,PBE_latt_const,PBE_gap,Eps_elec,Eps_ion,Ion_rad,BP,MP,Density,At_wt,ICSD_vol,Cov_rad,Ion_Energy,At_rad_1,Elec_Aff,At_rad_2,At_vol,Mend_num,Ion_pot_1,Ion_pot_2,Thermal_expn,Sp_heat_cap,Therm_cond,Elec_cond,Heat_fusion,Heat_vap,Electronegativity,At_num,Period,Group,Valence,Ox_state,Ion_rad.1,BP.1,MP.1,Density.1,At_wt.1,ICSD_vol.1,Cov_rad.1,Ion_Energy.1,At_rad_1.1,Elec_Aff.1,At_rad_2.1,At_vol.1,Mend_num.1,Ion_pot_1.1,Ion_pot_2.1,Thermal_expn.1,Sp_heat_cap.1,Therm_cond.1,Elec_cond.1,Heat_fusion.1,Heat_vap.1,Electronegativity.1,At_num.1,Period.1,Group.1,Valence.1,Ox_state.1,Unnamed: 75,CM ->,CM1,CM2,CM3,CM4,CM5,CM6,CM7,CM8,Unnamed: 85,Elem ->,Ion_rad.2,BP.2,MP.2,Density.2,At_wt.2,ICSD_vol.2,Cov_rad.2,Ion_Energy.2,At_rad_1.2,Elec_Aff.2,At_rad_2.2,At_vol.2,Mend_num.2,Ion_pot_1.2,Ion_pot_2.2,Thermal_expn.2,Sp_heat_cap.2,Therm_cond.2,Elec_cond.2,Heat_fusion.2,Heat_vap.2,Electronegativity.2,At_num.2,Period.2,Group.2,Valence.2,Ox_state.2,SOAP1,SOAP2,SOAP3,SOAP4,SOAP5,SOAP6
1166,II-VI,CdSe,M_B,Cr,3.678555893,6.881457995,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,428.6322491,428.6322491,428.6322491,428.6322491,1026.779016,185.9251569,185.9251569,185.9251569,,,0.62,2945.0,2130.0,7.19,51.996,12.0,1.18,652.8,1.249,64.0,1.85,7.23,49,6.766,16.5,4.9,0.449,93.7,7.9,20.0,339.5,1.66,24,4,6,6,3,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1167,II-VI,CdSe,M_B,Mn,3.507336653,6.26597912,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,446.4919262,446.4919262,446.4919262,446.4919262,1132.468224,193.6720384,193.6720384,193.6720384,,,0.67,2235.0,1518.0,7.44,54.938,12.2,1.17,717.4,1.24,0.0,1.79,7.39,52,7.435,15.64,21.7,0.48,7.82,0.5,14.64,219.74,1.55,25,4,7,7,4,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1168,II-VI,CdSe,M_B,Fe,3.339505628,6.39755796,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,464.3516032,464.3516032,464.3516032,464.3516032,1244.245388,201.41892,201.41892,201.41892,,,0.55,3023.0,1808.0,7.874,55.847,11.7,1.17,759.3,1.241,24.0,1.72,7.1,55,7.87,16.18,11.8,0.449,80.2,11.2,13.8,349.5,1.83,26,4,8,6,3,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1169,II-VI,CdSe,M_B,Co,5.036419543,7.93922678,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,482.2112803,482.2112803,482.2112803,482.2112803,1362.206782,209.1658015,209.1658015,209.1658015,,,0.65,3143.0,1768.0,8.9,58.9332,11.1,1.16,758.0,1.253,70.0,1.67,6.7,58,7.86,17.06,13.0,0.421,100.0,17.9,16.19,373.3,1.88,27,4,9,3,2,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1170,II-VI,CdSe,M_B,Ni,3.227249349,4.977627095,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,500.0709573,500.0709573,500.0709573,500.0709573,1486.446489,216.912683,216.912683,216.912683,,,0.69,3005.0,1726.0,8.9,58.6934,10.8,1.15,736.7,1.246,111.0,1.62,6.59,61,7.635,18.168,13.4,0.444,90.7,14.6,17.2,377.5,1.91,28,4,10,3,2,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1171,II-VI,CdSe,M_B,Cu,3.200199979,4.324378441,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,517.9306344,517.9306344,517.9306344,517.9306344,1617.056518,224.6595646,224.6595646,224.6595646,,,0.73,2840.0,1356.6,8.96,63.456,11.8,1.17,745.4,1.278,118.3,1.57,7.1,64,7.726,20.292,16.5,0.385,401.0,60.7,13.14,300.5,1.9,29,4,11,2,2,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1172,II-VI,CdSe,M_B,Zn,2.638546638,5.218546638,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,535.7903114,535.7903114,535.7903114,535.7903114,1754.126928,232.4064461,232.4064461,232.4064461,,,0.74,1180.0,692.73,7.13,65.39,15.1,1.25,906.4,1.332,0.0,1.53,9.2,69,9.394,17.964,30.2,0.388,116.0,16.9,7.38,115.3,1.65,30,4,12,2,2,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1173,II-VI,CdSe,M_B,Y,6.739325424,9.964325424,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,696.5274048,696.5274048,696.5274048,696.5274048,3292.494523,302.1283799,302.1283799,302.1283799,,,1.02,3611.0,1795.0,4.47,88.9059,32.9,1.62,616.0,1.81,0.0,2.27,19.8,12,6.38,12.24,11.3,0.3,17.2,1.8,17.15,393.3,1.22,39,5,3,3,3,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1174,II-VI,CdSe,M_B,Zr,6.708015705,10.76792982,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,714.3870819,714.3870819,714.3870819,714.3870819,3498.758637,309.8752615,309.8752615,309.8752615,,,0.84,4682.0,2128.0,6.51,91.224,23.2,1.45,660.0,1.6,50.0,2.16,14.1,44,6.34,13.13,5.7,0.278,22.7,2.3,21.0,590.5,1.33,40,5,4,4,4,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1175,II-VI,CdSe,M_B,Nb,6.195603837,9.821229579,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,732.2467589,732.2467589,732.2467589,732.2467589,3712.370051,317.622143,317.622143,317.622143,,,0.64,5015.0,2742.0,8.57,92.9064,18.1,1.34,664.0,1.429,96.0,2.08,10.87,47,6.88,14.32,7.3,0.265,53.7,6.6,26.9,690.1,1.6,41,5,5,5,5,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1176,II-VI,CdSe,M_B,Mo,6.218672895,9.428911595,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,750.106436,750.106436,750.106436,750.106436,3933.401701,325.3690245,325.3690245,325.3690245,,,0.59,4912.0,2896.0,10.22,95.94,15.5,1.3,684.9,1.362,96.0,2.01,9.4,50,7.099,16.461,4.8,0.25,138.0,17.3,36.0,590.4,2.16,42,5,6,6,6,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1177,II-VI,CdSe,M_B,Tc,5.80031497,7.09031497,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,767.966113,767.966113,767.966113,767.966113,4161.92546,333.1159061,333.1159061,333.1159061,,,0.56,4538.0,2477.0,11.5,98.0,14.2,1.27,702.0,1.358,70.0,1.95,8.5,53,7.28,15.26,8.0,0.24,50.6,0.001,23.0,502.0,1.9,43,5,7,7,7,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1178,II-VI,CdSe,M_B,Ru,4.78649091,7.322957402,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,785.8257901,785.8257901,785.8257901,785.8257901,4398.012181,340.8627876,340.8627876,340.8627876,,,0.62,4425.0,2610.0,12.37,101.07,14.0,1.25,711.0,1.325,110.0,1.89,8.3,56,7.37,16.76,6.4,0.238,117.0,14.9,25.52,567.77,2.2,44,5,8,8,3,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1179,II-VI,CdSe,M_B,Rh,3.751232173,6.86772306,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,803.6854671,803.6854671,803.6854671,803.6854671,4641.731738,348.6096692,348.6096692,348.6096692,,,0.67,3970.0,2236.0,12.41,102.9055,11.5,1.25,720.0,1.345,120.0,1.83,8.3,59,7.46,18.08,8.2,0.242,150.0,23.0,21.76,495.39,2.28,45,5,9,6,3,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1180,II-VI,CdSe,M_B,Pd,2.408124545,3.497046125,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,821.5451442,821.5451442,821.5451442,821.5451442,4893.153054,356.3565507,356.3565507,356.3565507,,,0.64,3240.0,1825.0,12.0,106.42,14.7,1.28,805.0,1.375,60.0,1.79,8.9,62,8.34,19.63,11.8,0.244,71.8,10.0,16.74,393.3,2.2,46,5,10,4,2,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1181,II-VI,CdSe,M_B,Ag,2.321827785,3.362081266,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,839.4048212,839.4048212,839.4048212,839.4048212,5152.344143,364.1034322,364.1034322,364.1034322,,,1.15,2436.0,1235.08,10.5,107.868,17.0,1.34,731.0,1.444,125.7,1.75,10.3,65,7.576,21.49,18.9,0.235,429.0,62.9,11.3,250.63,1.93,47,5,11,2,1,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1182,II-VI,CdSe,M_B,La,7.191674341,10.60370207,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,1018.001592,1018.001592,1018.001592,1018.001592,8185.96075,441.5722476,441.5722476,441.5722476,,,1.16,3737.0,1191.0,6.15,138.9055,37.4,1.25,538.1,1.877,50.0,2.74,20.73,13,5.58,11.059,5.2,0.19,13.5,1.9,11.3,399.57,1.1,57,6,3,3,3,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1183,II-VI,CdSe,M_B,Ta,7.42013333,8.84526892,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,1303.756424,1303.756424,1303.756424,1303.756424,14823.29899,565.5223522,565.5223522,565.5223522,,,0.64,5730.0,3293.0,16.65,180.9479,17.6,1.34,761.0,1.43,60.0,2.09,10.9,48,7.89,15.0,6.3,0.14,57.5,8.1,36.0,737.0,1.5,73,6,5,5,5,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1184,II-VI,CdSe,M_B,W,8.29220798,9.58220798,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,1321.616102,1321.616102,1321.616102,1321.616102,15315.32198,573.2692337,573.2692337,573.2692337,,,0.6,5825.0,3695.0,19.3,183.85,15.8,1.3,770.0,1.37,60.0,2.02,9.53,51,7.98,17.0,4.5,0.13,174.0,18.2,35.4,422.58,2.36,74,6,6,6,6,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1185,II-VI,CdSe,M_B,Re,6.98197368,8.27197368,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,1339.475779,1339.475779,1339.475779,1339.475779,15816.74222,581.0161153,581.0161153,581.0161153,,,0.53,5870.0,3455.0,21.0,186.207,14.7,1.28,760.0,1.37,14.0,1.97,8.85,54,7.88,12.6,6.2,0.137,47.9,5.8,33.05,707.1,1.9,75,6,7,7,7,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1186,II-VI,CdSe,M_B,Ir,4.072904988,5.787542888,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,1375.195133,1375.195133,1375.195133,1375.195133,16847.97637,596.5098783,596.5098783,596.5098783,,,0.63,4700.0,2720.0,22.6,192.22,13.8,1.27,880.0,1.357,150.0,1.87,8.54,60,9.1,16.0,6.4,0.13,147.0,21.3,26.36,563.58,2.2,77,6,9,3,4,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1187,II-VI,CdSe,M_B,Pt,2.2117396,3.807499975,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,1393.05481,1393.05481,1393.05481,1393.05481,17377.89028,604.2567599,604.2567599,604.2567599,,,0.63,4100.0,2042.1,21.45,195.08,15.1,1.3,870.0,1.38,205.3,1.83,9.1,63,9.0,18.563,8.8,0.13,71.6,9.4,19.66,510.45,2.28,78,6,10,4,4,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1188,II-VI,CdSe,M_B,Au,2.35401323,2.721852903,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,1410.914487,1410.914487,1410.914487,1410.914487,17917.40141,612.0036414,612.0036414,612.0036414,,,0.85,3130.0,1337.58,19.3,196.9665,16.9,1.34,890.1,1.442,222.74,1.79,10.2,66,9.225,20.521,14.2,0.128,317.0,48.8,12.36,324.43,2.54,79,6,11,3,3,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1189,II-VI,CdSe,M_B,Hg,2.26048403,3.594606498,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,1428.774164,1428.774164,1428.774164,1428.774164,18466.5588,619.7505229,619.7505229,619.7505229,,,1.02,629.88,234.31,13.55,200.59,23.8,1.49,1007.0,1.6,0.0,1.76,14.82,71,10.437,18.759,49.0,0.14,8.34,1.0,2.292,59.3,2.0,80,6,12,2,2,2.0269158729411276,1.3511756272786544e-33,1.902213040914473,1.8615270705531316e-33,0.001979410032169069,2.6607732254389235e-36
1190,II-VI,CdSe,M_i_A,Li,0.9814774,1.546507209,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,53.57903114,53.57903114,53.57903114,53.57903114,32.86723481,32.86723481,32.86723481,18.97590686,,,0.76,1615.0,453.7,0.53,6.941,21.6,1.23,520.2,1.55,59.8,2.05,13.1,1,5.392,76.638,46.0,3.582,84.7,11.7,3.0,147.1,0.98,3,2,1,1,1,1.97225938069975,1.2557852591224799e-33,1.9798758359208475,1.995795882841193e-33,0.0021460227339232998,1.4511528013314778e-35
1191,II-VI,CdSe,M_i_A,Na,2.766135649,3.46017077,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,196.4564475,196.4564475,196.4564475,196.4564475,120.5131943,120.5131943,120.5131943,69.57832516,,,1.02,1156.0,371.0,0.97,22.98977,39.7,1.54,495.8,1.9,52.7,2.23,23.7,2,5.139,47.286,71.0,1.23,141.0,20.1,2.601,98.01,0.93,11,3,1,1,1,1.97225938069975,1.2557852591224799e-33,1.9798758359208475,1.995795882841193e-33,0.0021460227339232998,1.4511528013314778e-35
1192,II-VI,CdSe,M_i_A,Rb,2.119499204,3.197011284,,,,,,,,,,,-1.276515808,6.20678926,0.482,8.10800494,3.97267183,0.95,1040,594.26,8.65,112.41,21.5,1.41,867.7,1.489,0.0,1.71,13.1,70,8.993,16.908,30.8,0.232,96.8,14.7,6.07,99.87,1.69,48,5,12,2,2,0.5,958.0,494.0,4.79,78.96,29.8,1.16,940.9,1.4,194.96,1.22,16.45,89,9.752,21.19,45.0,0.32,2.04,8.0,5.54,26.32,2.55,34,4,16,6,4,,,660.8080508,660.8080508,660.8080508,660.8080508,405.3625626,405.3625626,405.3625626,234.0361846,,,1.61,961.0,312.63,1.532,85.4678,93.0,2.16,403.0,2.48,46.89,2.98,55.9,4,4.177,27.28,91.0,0.363,58.2,47.8,2.34,69.2,0.82,37,5,1,4,1,1.97225938069975,1.2557852591224799e-33,1.9798758359208475,1.995795882841193e-33,0.0021460227339232998,1.4511528013314778e-35
